STATEFIPS,STATE,zipcode,agi_stub,N1,mars1,MARS2,MARS4,PREP,N2,NUMDEP,TOTAL_VITA,VITA,TCE,VITA_EIC,RAL,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,A00101,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18800,A18800,N18300,A18300,N19300,A19300,N19500,A19500,N19530,A19530,N19550,A19550,N19570,A19570,N19700,A19700,N20800,A20800,n21020,a21020,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11902,A11902
1,AL,0,1,815440,477700,105350,221200,440830,1296920,491310,24730,16610,8130,5440,31550,225140,150920,10610343,815440,10787121,651680,8466376,90040,57551,42420,74527,38170,51048,11830,5328,144430,765184,34770,20594,38510,240402,104980,1038534,8310,22770,65220,37560,73490,7900,17497,145820,176778,1340,308,40,387,8630,32058,1730,5091,17110,14893,6620,18836,20,103,48600,699784,757559,34710,280423,18450,19585,22670,18822,22600,21511,25020,5950,46930,74541,20950,109734,190,563,330,150,2680,3326,200,142,36370,104574,17910,82471,400,2329,320790,1806830,325650,195415,0,0,18830,6579,101150,34290,1760,68,6620,2205,27490,15002,32490,5582,28940,8858,1140,471,113880,155301,54520,230494,56460,231566,18020,10199,755160,2119297,363420,1097024,333760,981026,229900,291625,61350,57108,28510,14474,254700,160665,367320,330066,0,0,0,0,63420,51444,711580,1831661
1,AL,0,2,495830,211930,142340,128890,272440,996240,360480,10890,7100,3780,280,11770,118460,109680,17839904,495830,18020908,427840,14690098,89460,63622,39400,94307,35060,67289,47330,26083,65350,258861,31040,50118,36020,348074,100030,1812761,8920,15170,45546,91310,605042,10340,69499,96260,181004,14260,3476,90,1037,7570,37604,7300,24316,41490,43047,2340,5833,60,574,103560,1579761,3947654,47510,339474,74730,127434,25830,32861,66650,58178,64360,17611,102740,243301,60550,312252,1070,3508,1290,590,19320,23659,300,236,85920,337353,44430,292180,2290,14634,474930,8739820,473360,1067785,0,0,17200,13087,216450,191023,6320,291,30880,17180,43580,45248,77770,14984,122630,108314,12690,6759,38490,84581,24960,96905,27540,110068,21690,14515,485140,2062531,138800,291932,115640,245939,102530,144943,33880,30970,5140,4460,375320,877407,398050,984297,0,0,0,0,74090,110889,416090,1173463
1,AL,0,3,263390,83420,137870,36340,154880,584000,182880,2480,1270,1210,0,150,41910,75570,16193076,263390,16351320,225610,12476022,80410,64816,38990,121115,35340,89415,58720,40132,41390,259064,31240,85650,29450,388970,73030,1836648,8470,7460,24614,63740,961406,11580,126140,69510,158244,8520,2146,190,1995,5530,35869,5340,22892,29110,31929,2150,4834,70,442,100110,1736214,6253051,29890,236177,80920,208782,17080,27736,78160,75404,68320,19479,99920,337719,71760,405379,1670,5677,2670,1568,21170,27432,690,660,85510,407422,37110,278272,2400,18992,262070,10338819,261500,1429944,40,96,4180,7590,113150,165544,9150,684,18100,9762,22780,29166,18710,2977,75270,113174,9740,5867,27370,68645,2400,8954,5780,22602,4510,4481,259650,1769024,70,24,20,7,9560,12495,16820,15588,0,0,249560,1264586,253180,1349246,0,0,0,0,64000,143060,195130,543284
1,AL,0,4,167190,29420,124060,10610,99700,421720,130160,620,390,230,0,0,18560,51540,14513312,167190,14646693,144290,10900188,67750,59882,33700,124605,30700,94076,53210,42499,28910,240845,27320,103892,22930,411954,53260,1666592,5510,3850,13372,42870,874160,8780,145281,49910,133381,8580,2323,110,1986,2640,20394,3040,15828,20610,23854,360,766,140,353,80100,1575109,7012174,16830,141086,67360,237633,10910,21257,69930,78523,58540,18167,79980,362811,64200,412166,610,2061,1550,884,17450,24277,570,850,70730,394630,24780,202113,960,10141,166900,10176894,166580,1480117,260,609,520,1445,74870,127722,7530,1507,15060,8574,17250,22630,0,0,53970,88853,5770,2765,19550,56524,20,84,840,3148,510,724,165540,1693476,0,0,0,0,130,197,12040,11117,0,0,165330,1352397,165830,1425430,0,0,0,0,45020,128920,117410,381329
1,AL,0,5,217440,20240,188080,4880,129410,601040,195990,680,660,20,0,0,11620,68080,29375736,217440,29696755,193550,21806247,116090,145219,69540,375343,64870,300101,110430,118782,43180,684832,59160,506542,34750,909488,74160,2988298,8180,2280,8380,50010,1195287,24980,828015,77820,321019,12040,3192,1310,21562,7290,65730,5090,29860,22870,24745,3450,7047,780,8960,152000,3605095,21234787,13430,136781,137690,760514,10940,27202,141070,216729,117980,44270,151920,1065202,128400,1000072,2380,8573,7140,3672,3440,2859,3020,5618,139560,982689,34030,298272,2890,37716,217250,22511460,216970,3890612,1930,4531,140,580,95820,130089,19270,3949,21690,12377,20970,29469,0,0,46670,62728,6750,2896,31130,127140,0,0,160,717,180,360,215570,4072975,0,0,0,0,0,0,18770,17844,0,0,216500,3760298,216720,3922449,390,155,60,19,82940,423629,126130,506526
1,AL,0,6,57240,2970,51130,400,42920,165770,56220,0,0,0,0,0,170,19330,25824639,57230,26303410,49810,12535261,43980,270897,33900,803895,32570,669349,31900,109841,14800,925832,32610,2195924,9300,437230,14480,832635,1110,50,164,10780,297149,23300,5461400,23590,478771,590,147,2820,86474,7980,98686,540,5121,0,0,0,0,1740,71314,53050,2995932,24311557,620,14467,50700,898210,990,3755,50350,194131,40160,22904,53040,1130078,40000,484369,610,3938,3840,1581,0,0,5060,50410,50220,1205500,7190,135942,1730,36534,57150,22217305,57140,5979708,17100,81344,0,0,20990,55039,14450,18010,3220,1794,0,0,0,0,0,0,940,498,15180,133823,0,0,0,0,0,0,56590,5903778,0,0,0,0,0,0,0,0,0,0,57090,5910675,57170,6208277,23170,40099,28220,89072,28900,825381,17350,254122
1,AL,35004,1,1510,990,220,280,700,2130,660,40,40,0,0,40,330,340,19351,1510,19675,1170,14653,180,126,80,133,80,93,40,13,260,1587,60,5,90,598,230,2111,0,30,95,90,160,0,0,260,324,0,0,0,0,30,80,0,0,40,28,0,0,0,0,130,1823,1839,100,858,50,41,60,38,60,43,70,10,120,143,70,351,0,0,0,0,0,0,0,0,100,261,50,179,0,0,630,3933,640,426,0,0,50,11,160,63,0,0,0,0,40,31,70,12,40,15,0,0,200,279,120,478,120,467,30,15,1370,3254,540,1463,470,1287,330,405,80,61,60,32,550,363,730,664,0,0,0,0,120,109,1290,2692
1,AL,35004,2,1410,660,360,340,630,2660,900,0,0,0,0,20,350,270,51976,1410,52487,1240,43608,230,152,90,131,80,95,170,83,170,807,50,60,100,979,260,4405,0,30,99,230,1567,40,344,310,511,40,9,0,0,30,162,20,69,170,177,30,76,0,0,360,4938,13795,160,1015,280,598,60,81,260,145,250,48,360,885,250,1336,0,0,0,0,110,152,0,0,290,938,110,568,20,81,1360,27155,1360,3394,0,0,50,36,620,577,0,0,120,63,120,127,220,40,360,319,30,20,100,215,80,263,80,273,70,44,1390,6045,360,720,300,612,270,365,90,78,30,19,1090,2817,1170,3079,0,0,0,0,210,302,1190,3223
1,AL,35004,3,950,330,470,140,440,2080,660,0,0,0,0,0,200,200,58988,950,59519,870,49991,220,129,100,311,80,234,240,135,130,704,70,173,80,1509,180,3701,0,30,67,160,2446,30,195,280,531,30,7,0,0,0,0,30,74,150,152,0,0,0,0,400,6078,24987,80,613,360,967,30,57,330,209,280,67,400,1325,330,1839,0,0,0,0,150,189,0,0,330,1227,130,800,0,0,950,38459,950,5387,0,0,20,28,430,662,40,2,80,45,70,94,80,13,310,471,30,17,90,185,0,0,30,77,0,0,940,6599,0,0,0,0,40,50,50,48,0,0,910,4724,920,4988,0,0,0,0,200,420,740,2000
1,AL,35004,4,650,120,470,50,320,1690,560,0,0,0,0,0,110,130,56302,650,56657,610,48450,220,102,100,272,90,222,250,175,80,580,70,223,50,970,130,3300,0,20,71,90,1687,30,589,210,355,20,6,0,0,30,241,30,121,120,131,0,0,0,0,340,5928,29390,40,225,320,1165,30,67,320,230,260,65,340,1514,300,1897,0,0,40,18,140,173,0,0,300,1438,90,648,0,0,650,39782,650,5841,0,0,0,0,320,574,0,0,100,57,70,87,0,0,260,423,30,6,60,171,0,0,0,0,0,0,650,6666,0,0,0,0,0,0,50,44,0,0,640,5267,640,5504,0,0,0,0,140,385,500,1535
